country_name,iso3code,life_expectancy,urban_pop_pct,internet_users_pct,unemployment_pct,electricity_access_pct,population_density
Afghanistan,AFG,66.29,25.94,16.09,13.35,87.80,63.56
Albania,ALB,79.78,58.87,85.86,10.93,100.00,88.02
Algeria,DZA,76.48,75.82,77.42,11.63,100.00,19.38
American Samoa,ASM,72.99,80.51,0.00,,,237.61
Andorra,AND,84.19,88.95,94.40,,100.00,172.03
Angola,AGO,64.81,71.46,40.70,14.11,55.50,29.48
Antigua and Barbuda,ATG,77.77,24.33,72.73,,100.00,212.08
Argentina,ARG,77.54,92.35,89.67,7.15,98.40,16.64
Armenia,ARM,78.32,65.93,81.34,12.87,100.00,105.12
Aruba,ABW,76.50,61.75,97.17,,100.00,596.44
Australia,AUS,83.05,87.72,96.13,4.09,100.00,3.47
Austria,AUT,82.00,69.72,91.93,5.58,100.00,110.66
Azerbaijan,AZE,74.58,58.64,90.80,5.46,100.00,122.85
"Bahamas, The",BHS,74.71,81.33,92.47,9.21,100.00,39.90
Bahrain,BHR,81.42,100.00,100.00,1.10,100.00,1971.32
Bangladesh,BGD,74.93,33.24,53.42,3.78,99.50,1319.18
Barbados,BRB,76.33,59.70,70.36,6.52,100.00,656.60
Belarus,BLR,74.37,79.49,94.26,3.38,100.00,45.22
Belgium,BEL,82.30,87.67,95.78,5.91,100.00,386.30
Belize,BLZ,73.74,41.56,80.01,8.86,99.60,18.02
Benin,BEN,60.96,53.36,33.98,1.59,59.00,125.14
Bermuda,BMU,82.49,100.00,98.37,,100.00,1198.11
Bhutan,BTN,73.26,43.43,91.28,3.23,100.00,20.62
Bolivia,BOL,68.74,71.56,79.70,2.97,96.60,11.30
Bosnia and Herzegovina,BIH,78.04,52.69,86.10,11.04,100.00,62.21
Botswana,BWA,69.29,67.96,57.46,24.48,80.20,4.38
Brazil,BRA,76.02,88.18,84.46,5.97,99.80,25.26
British Virgin Islands,VGB,77.43,57.40,77.70,,100.00,259.90
Brunei Darussalam,BRN,75.50,75.01,96.30,5.28,100.00,87.09
Bulgaria,BGR,75.76,74.17,82.44,3.54,100.00,59.38
Burkina Faso,BFA,61.29,28.92,28.25,3.48,34.00,84.16
Burundi,BDI,63.82,25.69,8.60,0.92,20.10,533.08
Cabo Verde,CPV,76.22,77.63,74.74,11.94,98.40,129.61
Cambodia,KHM,70.82,41.11,68.48,0.26,99.20,98.71
Cameroon,CMR,63.97,55.67,46.26,3.60,72.00,60.02
